6101221-AW01	1.505	0.25 	0.53 	0.22 	2	0.715115304	187.8786169
6201221-BM01	1.3	0.73 	0.03 	0.23 	2	0.205298864	115.5601904
5701111-BM02	1.55	0.10 	0.30 	0.60 	2	0.0866022	168.6088854
6201121-BM01	1.3	0.96 	0.04 	0.01 	2	0.898821046	118.9547067
5701111-AW03	2.02	0.08 	0.92 	0.01 	2	0.956817067	125.8616181
5120121-AW01	3.405	0.84 	0.06 	0.10 	2	0.719116693	108.3943638
6301111-BM01	1.8	0.84 	0.11 	0.04 	2	0.585113988	189.539888
8403111-AW01	2.705	0.56 	0.15 	0.30 	2	0.057234266	148.4491337
6101211-AW01	1.605	0.94 	0.00 	0.05 	2	0.923593946	103.2551878
6101221-BM01	1.6125	0.14 	0.26 	0.60 	2	0.07634171	177.2705621
8403211-AW01	2.705	0.79 	0.11 	0.10 	2	0.017524794	135.520583
6101111-AW01	1.605	0.76 	0.19 	0.05 	2	0.330982454	103.8585797
5302111-AW01	1.405	0.14 	0.01 	0.85 	2	0.720090796	129.3716458
6201111-BM01	1.575	0.40 	0.42 	0.18 	2	0.736368024	132.8026925
6101121-BM01	1.82	0.75 	0.24 	0.00 	2	0.527862755	173.0191451
6201211-BM01	1.575	0.93 	0.03 	0.04 	2	0.467576475	100.2115387
8403211-BM01	1.85	0.61 	0.29 	0.10 	2	0.631105748	150.2314538
8403111-BM01	1.85	0.17 	0.82 	0.01 	2	0.153962228	158.895529
5421101-AW01	1.6575	0.24 	0.03 	0.73 	2	0.26099416	121.4684424
8402111-BM01	1.8	0.17 	0.74 	0.08 	2	0.188078878	113.5779252
8402111-AW01	1.305	0.28 	0.69 	0.03 	3	0.275169658	144.2077349
6301121-BM01	1.8	0.12 	0.84 	0.05 	3	0.21824277	186.8789875
5302111-BM01	1.475	0.78 	0.17 	0.05 	3	0.745459953	184.3657176
5701111-AW01	1.5525	0.52 	0.20 	0.27 	3	0.668203754	158.2696808
6301111-AW01	2.19	0.62 	0.02 	0.36 	3	0.768393376	182.2076249
5302111-AW02	1.655	0.97 	0.02 	0.01 	3	0.744776532	195.4774713
8402121-AW01	3.52	0.59 	0.10 	0.31 	3	0.470279494	175.4618549
6201211-AW01	2.755	0.47 	0.17 	0.35 	3	0.703636943	120.9577711
6201111-AW01	2.755	0.38 	0.38 	0.24 	3	0.875023056	115.1254804
5130351-BM01	2.6425	0.71 	0.19 	0.10 	3	0.166113952	114.697368
6201121-AW01	1.555	0.69 	0.01 	0.30 	3	0.265951672	122.118933
6201221-AW01	1.38	0.23 	0.10 	0.67 	3	0.729650585	130.2968247
6101121-AW01	1.405	0.35 	0.33 	0.32 	3	0.085912259	168.1942195
5120111-BM01	2.1	0.18 	0.27 	0.55 	3	0.553299948	148.5048418
6301121-AW01	2.0075	0.16 	0.55 	0.29 	3	0.183793468	186.4245106
5422101-BM01	1.38	0.65 	0.10 	0.25 	3	0.543488971	121.3414019
5421101-BM01	1.465	0.47 	0.46 	0.07 	3	0.377893062	155.3271361
5701111-BM01	1.21	0.59 	0.12 	0.29 	3	0.988181173	109.0919616
5421421-BM01	3.03	0.17 	0.08 	0.76 	3	0.78547899	195.6952013
5422421-BM01	3.03	0.27 	0.63 	0.10 	3	0.868515938	103.8443418
5130321-AW01	2.615	0.64 	0.34 	0.02 	3	0.841788473	143.4814435
5422101-AW01	1.6575	0.01 	0.50 	0.49 	3	0.540289428	149.2432746
5701111-AW02	2.4875	0.42 	0.19 	0.40 	3	0.87804193	153.7536271
5120111-AW01	3.405	0.73 	0.09 	0.17 	3	0.164644679	114.1359962
